,Year,Month,Province_group,Distance,Hospital_admission,Mode,Year-Month
1200,2018,4,North,   25.49,0.0,Commute,201804.0
816,2018,4.0,North,0,0.0,Edu,201804.0
56,2018,4.0,West,   13.09,0.0,Total,201804.0
1208,2018,4,West,   17.54,0.0,Commute,201804.0
60,2018,4.0,South,   14.47,0.0,Total,201804.0
52,2018,4.0,East,   14.43,0.0,Total,201804.0
1212,2018,4,South,   16.08,0.0,Commute,201804.0
1204,2018,4,East,   21.95,0.0,Commute,201804.0
828,2018,4.0,South,   18.81,0.0,Edu,201804.0
248,2018,4.0,West,   10.35,0.0,Walk,201804.0
1016,2018,4.0,West,    5.70,0.0,Shop,201804.0
1020,2018,4.0,South,    5.26,0.0,Shop,201804.0
1012,2018,4.0,East,    5.78,0.0,Shop,201804.0
824,2018,4.0,West,   11.90,0.0,Edu,201804.0
1008,2018,4.0,North,    5.16,0.0,Shop,201804.0
820,2018,4.0,East,   10.91,0.0,Edu,201804.0
840,2018,5.0,West,   12.65,0.0,Edu,201805.0
652,2018,5.0,South,   21.68,0.0,Visit,201805.0
256,2018,5.0,North,   11.71,0.0,Walk,201805.0
648,2018,5.0,West,   25.49,0.0,Visit,201805.0
1028,2018,5.0,East,    5.81,0.0,Shop,201805.0
644,2018,5.0,East,   24.40,0.0,Visit,201805.0
640,2018,5.0,North,   33.53,0.0,Visit,201805.0
64,2018,5.0,North,   15.94,0.0,Total,201805.0
260,2018,5.0,East,   12.22,0.0,Walk,201805.0
68,2018,5.0,East,   13.97,0.0,Total,201805.0
1024,2018,5.0,North,    7.89,0.0,Shop,201805.0
1224,2018,5,West,   19.91,0.0,Commute,201805.0
844,2018,5.0,South,   19.36,0.0,Edu,201805.0
1220,2018,5,East,   19.51,0.0,Commute,201805.0
1228,2018,5,South,   16.99,0.0,Commute,201805.0
1032,2018,5.0,West,    6.13,0.0,Shop,201805.0
1036,2018,5.0,South,    4.94,0.0,Shop,201805.0
76,2018,5.0,South,   13.52,0.0,Total,201805.0
832,2018,5.0,North,   11.81,0.0,Edu,201805.0
460,2018,5.0,South,   11.52,0.0,Fun,201805.0
268,2018,5.0,South,   10.02,0.0,Walk,201805.0
72,2018,5.0,West,   14.00,0.0,Total,201805.0
836,2018,5.0,East,   16.77,0.0,Edu,201805.0
452,2018,5.0,East,   13.61,0.0,Fun,201805.0
456,2018,5.0,West,   13.25,0.0,Fun,201805.0
1216,2018,5,North,   20.39,0.0,Commute,201805.0
264,2018,5.0,West,   10.46,0.0,Walk,201805.0
448,2018,5.0,North,   11.65,0.0,Fun,201805.0
852,2018,6.0,East,   16.23,0.0,Edu,201806.0
856,2018,6.0,West,   10.59,0.0,Edu,201806.0
848,2018,6.0,North,   17.51,0.0,Edu,201806.0
476,2018,6.0,South,   15.21,0.0,Fun,201806.0
860,2018,6.0,South,   11.13,0.0,Edu,201806.0
468,2018,6.0,East,   11.69,0.0,Fun,201806.0
1232,2018,6,North,   22.43,0.0,Commute,201806.0
284,2018,6.0,South,    8.70,0.0,Walk,201806.0
1236,2018,6,East,   21.20,0.0,Commute,201806.0
1244,2018,6,South,   19.19,0.0,Commute,201806.0
1052,2018,6.0,South,    6.70,0.0,Shop,201806.0
280,2018,6.0,West,   10.53,0.0,Walk,201806.0
1048,2018,6.0,West,    5.19,0.0,Shop,201806.0
1044,2018,6.0,East,    5.66,0.0,Shop,201806.0
1040,2018,6.0,North,    5.72,0.0,Shop,201806.0
80,2018,6.0,North,   15.03,0.0,Total,201806.0
84,2018,6.0,East,   14.38,0.0,Total,201806.0
668,2018,6.0,South,   21.01,0.0,Visit,201806.0
88,2018,6.0,West,   13.55,0.0,Total,201806.0
92,2018,6.0,South,   13.88,0.0,Total,201806.0
276,2018,6.0,East,    8.86,0.0,Walk,201806.0
1240,2018,6,West,   18.02,0.0,Commute,201806.0
272,2018,6.0,North,   12.94,0.0,Walk,201806.0
464,2018,6.0,North,   16.65,0.0,Fun,201806.0
472,2018,6.0,West,   13.94,0.0,Fun,201806.0
656,2018,6.0,North,0,0.0,Visit,201806.0
660,2018,6.0,East,   26.41,0.0,Visit,201806.0
664,2018,6.0,West,   27.35,0.0,Visit,201806.0
1256,2018,7,West,   19.65,0.0,Commute,201807.0
1252,2018,7,East,   22.63,0.0,Commute,201807.0
492,2018,7.0,South,   17.72,0.0,Fun,201807.0
488,2018,7.0,West,   13.41,0.0,Fun,201807.0
1260,2018,7,South,   21.17,0.0,Commute,201807.0
108,2018,7.0,South,   14.88,0.0,Total,201807.0
292,2018,7.0,East,   11.23,0.0,Walk,201807.0
1068,2018,7.0,South,    5.64,0.0,Shop,201807.0
1064,2018,7.0,West,    4.97,0.0,Shop,201807.0
1060,2018,7.0,East,    5.81,0.0,Shop,201807.0
1056,2018,7.0,North,    4.97,0.0,Shop,201807.0
296,2018,7.0,West,   12.01,0.0,Walk,201807.0
96,2018,7.0,North,   15.37,0.0,Total,201807.0
300,2018,7.0,South,   12.72,0.0,Walk,201807.0
100,2018,7.0,East,   16.26,0.0,Total,201807.0
104,2018,7.0,West,   14.20,0.0,Total,201807.0
288,2018,7.0,North,   12.27,0.0,Walk,201807.0
672,2018,7.0,North,0,0.0,Visit,201807.0
1248,2018,7,North,   18.91,0.0,Commute,201807.0
680,2018,7.0,West,   29.18,0.0,Visit,201807.0
684,2018,7.0,South,   18.52,0.0,Visit,201807.0
864,2018,7.0,North,0,0.0,Edu,201807.0
876,2018,7.0,South,0,0.0,Edu,201807.0
872,2018,7.0,West,    9.73,0.0,Edu,201807.0
676,2018,7.0,East,   28.50,0.0,Visit,201807.0
480,2018,7.0,North,   19.86,0.0,Fun,201807.0
484,2018,7.0,East,   16.19,0.0,Fun,201807.0
868,2018,7.0,East,0,0.0,Edu,201807.0
316,2018,8.0,South,   10.17,0.0,Walk,201808.0
696,2018,8.0,West,   30.99,0.0,Visit,201808.0
312,2018,8.0,West,   13.66,0.0,Walk,201808.0
308,2018,8.0,East,   11.63,0.0,Walk,201808.0
688,2018,8.0,North,0,0.0,Visit,201808.0
304,2018,8.0,North,   13.71,0.0,Walk,201808.0
692,2018,8.0,East,   30.64,0.0,Visit,201808.0
700,2018,8.0,South,   18.25,0.0,Visit,201808.0
1084,2018,8.0,South,    6.00,0.0,Shop,201808.0
508,2018,8.0,South,   13.56,0.0,Fun,201808.0
504,2018,8.0,West,   16.22,0.0,Fun,201808.0
1264,2018,8,North,   20.85,0.0,Commute,201808.0
880,2018,8.0,North,0,0.0,Edu,201808.0
1268,2018,8,East,   21.10,0.0,Commute,201808.0
124,2018,8.0,South,   12.13,0.0,Total,201808.0
892,2018,8.0,South,0,0.0,Edu,201808.0
120,2018,8.0,West,   14.49,0.0,Total,201808.0
500,2018,8.0,East,   22.05,0.0,Fun,201808.0
116,2018,8.0,East,   16.64,0.0,Total,201808.0
496,2018,8.0,North,   17.20,0.0,Fun,201808.0
1276,2018,8,South,   17.01,0.0,Commute,201808.0
888,2018,8.0,West,0,0.0,Edu,201808.0
884,2018,8.0,East,0,0.0,Edu,201808.0
1272,2018,8,West,   17.41,0.0,Commute,201808.0
1072,2018,8.0,North,    9.16,0.0,Shop,201808.0
1076,2018,8.0,East,    5.58,0.0,Shop,201808.0
1080,2018,8.0,West,    4.66,0.0,Shop,201808.0
112,2018,8.0,North,   18.15,0.0,Total,201808.0
900,2018,9.0,East,   13.22,0.0,Edu,201809.0
904,2018,9.0,West,   11.62,0.0,Edu,201809.0
520,2018,9.0,West,   14.11,0.0,Fun,201809.0
140,2018,9.0,South,   13.60,0.0,Total,201809.0
136,2018,9.0,West,   12.82,0.0,Total,201809.0
132,2018,9.0,East,   14.09,0.0,Total,201809.0
128,2018,9.0,North,   15.80,0.0,Total,201809.0
1280,2018,9,North,   20.23,0.0,Commute,201809.0
1100,2018,9.0,South,    4.21,0.0,Shop,201809.0
1096,2018,9.0,West,    4.47,0.0,Shop,201809.0
1092,2018,9.0,East,    5.06,0.0,Shop,201809.0
908,2018,9.0,South,   17.04,0.0,Edu,201809.0
1284,2018,9,East,   20.45,0.0,Commute,201809.0
896,2018,9.0,North,0,0.0,Edu,201809.0
512,2018,9.0,North,   16.03,0.0,Fun,201809.0
1088,2018,9.0,North,    4.65,0.0,Shop,201809.0
324,2018,9.0,East,   10.63,0.0,Walk,201809.0
1288,2018,9,West,   17.03,0.0,Commute,201809.0
1292,2018,9,South,   20.73,0.0,Commute,201809.0
328,2018,9.0,West,    9.04,0.0,Walk,201809.0
716,2018,9.0,South,   25.47,0.0,Visit,201809.0
332,2018,9.0,South,   14.53,0.0,Walk,201809.0
712,2018,9.0,West,   22.25,0.0,Visit,201809.0
708,2018,9.0,East,   25.06,0.0,Visit,201809.0
516,2018,9.0,East,0,0.0,Fun,201809.0
524,2018,9.0,South,   10.25,0.0,Fun,201809.0
704,2018,9.0,North,   29.73,0.0,Visit,201809.0
320,2018,9.0,North,   12.12,0.0,Walk,201809.0
348,2018,10.0,South,   10.37,0.0,Walk,201810.0
1108,2018,10.0,East,    5.66,0.0,Shop,201810.0
1116,2018,10.0,South,    6.45,0.0,Shop,201810.0
1104,2018,10.0,North,    7.99,0.0,Shop,201810.0
528,2018,10.0,North,   12.67,0.0,Fun,201810.0
1304,2018,10,West,   18.49,0.0,Commute,201810.0
540,2018,10.0,South,   12.33,0.0,Fun,201810.0
1296,2018,10,North,   19.04,0.0,Commute,201810.0
532,2018,10.0,East,   14.75,0.0,Fun,201810.0
536,2018,10.0,West,   11.32,0.0,Fun,201810.0
336,2018,10.0,North,0,0.0,Walk,201810.0
1300,2018,10,East,   23.63,0.0,Commute,201810.0
728,2018,10.0,West,   23.24,0.0,Visit,201810.0
732,2018,10.0,South,   16.65,0.0,Visit,201810.0
924,2018,10.0,South,   16.41,0.0,Edu,201810.0
340,2018,10.0,East,    7.15,0.0,Walk,201810.0
156,2018,10.0,South,   13.07,0.0,Total,201810.0
1112,2018,10.0,West,    5.08,0.0,Shop,201810.0
920,2018,10.0,West,   14.40,0.0,Edu,201810.0
1308,2018,10,South,   18.39,0.0,Commute,201810.0
916,2018,10.0,East,   15.08,0.0,Edu,201810.0
152,2018,10.0,West,   12.54,0.0,Total,201810.0
912,2018,10.0,North,0,0.0,Edu,201810.0
344,2018,10.0,West,    7.02,0.0,Walk,201810.0
148,2018,10.0,East,   14.94,0.0,Total,201810.0
144,2018,10.0,North,   14.73,0.0,Total,201810.0
724,2018,10.0,East,   22.96,0.0,Visit,201810.0
720,2018,10.0,North,   28.24,0.0,Visit,201810.0
548,2018,11.0,East,   14.47,0.0,Fun,201811.0
556,2018,11.0,South,   13.30,0.0,Fun,201811.0
360,2018,11.0,West,    9.43,0.0,Walk,201811.0
